2020-04-17 14:30:01.266 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.266 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.266 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.266 [Thread-2] INFO  ServerWorker - New command CHECK from /127.0.0.1:65309.
2020-04-17 14:30:01.266 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.266 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.266 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.270 [Thread-2] INFO  ServerWorker - New command GROUP_COUNTING_BY_COORDINATES from /127.0.0.1:65309.
2020-04-17 14:30:01.271 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.271 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.272 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.272 [Thread-2] INFO  ServerWorker - New command INFO from /127.0.0.1:65309.
2020-04-17 14:30:01.272 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.272 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.272 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.274 [Thread-2] INFO  ServerWorker - New command SHOW from /127.0.0.1:65309.
2020-04-17 14:30:01.274 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.274 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.274 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.276 [Thread-2] INFO  ServerWorker - New command ADD_IF_MIN from /127.0.0.1:65309.
2020-04-17 14:30:01.278 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.278 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.278 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.279 [Thread-2] INFO  ServerWorker - New command ADD from /127.0.0.1:65309.
